"Keyword","Average Sales","Search Per Month","Search Per Month Color","Competition Score","Competition Score Color"
"Demons Seldom Care","$ 15","<100","Red",35,"Green"
"Ava Lock","$ 45","<100","Red",1,"Green"
"disaster with demons","$ 1,732","1,307","Yellow",36,"Green"
"badass female demons ebook","$ 1,086","420","Green",59,"Yellow"
"badass female demons","$ 833","412","Yellow",25,"Green"
"supernatural dark fantasy with demons","$ 1,614","<100","Red",12,"Green"
"dark humor demons","$ 378","<100","Red",9,"Green"
"disaster with demons for adults","$ 1,369","<100","Red",1,"Green"
"demons x ghosts","$ 256","908","Yellow",16,"Green"
"preorder demon","$ 127,166","1,284","Red",14,"Green"
"dark paranormal ghost fantasy","$ 594","1,036","Green",11,"Green"
"disaster romantasy","$ 582","<100","Red",18,"Green"
"badass female demon ebooks","$ 1,087","990","Green",61,"Yellow"
"badass female demon book","$ 1,093","990","Green",59,"Yellow"
"badass female demon books","$ 1,064","990","Green",63,"Yellow"
"badass female demon","$ 800","413","Yellow",23,"Green"
"demon disaster ebook","$ 2,651","1,307","Yellow",26,"Green"
"demon disaster","$ 1,084","1,293","Red",25,"Green"
"demonic disaster","$ 819","1,959","Red",89,"Red"
"demonic disasters","$ 1,084","1,956","Red",98,"Red"
"paranormal fantasy preorder","$ 127,742","498","Yellow",34,"Green"
"dark paranormal disaster","$ 1,874","<100","Red",19,"Green"
"supernatural demon fantasies","$ 891","205","Yellow",37,"Green"
"badass female demon book series","$ 972","308","Green",55,"Yellow"
"badass female demon ebook","$ 1,086","420","Green",59,"Yellow"
"supernatural disaster fiction","$ 312","<100","Red",15,"Green"
"demonic disaster fantasy","$ 655","1,155","Yellow",39,"Green"
"demon disaster fantasy","$ 1,772","314","Yellow",35,"Green"
"dark supernatural demon fantasy","$ 2,495","271","Yellow",39,"Green"
"supernatural demon dark fantasy","$ 2,495","271","Yellow",39,"Green"
"dark female demon fantasy","$ 216","343","Green",7,"Green"
"supernatural disaster","$ 440","<100","Red",31,"Green"
"dark supernatural demon fantasies","$ 1,638","<100","Red",10,"Green"
"dark supernatural demon fantasy ebooks","$ 1,933","<100","Red",34,"Green"
"unexpected plot twist fantasy must read","$ 61,032","<100","Red",59,"Yellow"
"supernatural demon fantasy","$ 1,808","205","Yellow",36,"Green"
"disaster horror for adults","$ 1,080","<100","Red",24,"Green"
"badass female demon fantasy","$ 849","<100","Red",19,"Green"
"dark supernatural demon fantasy ebook","$ 1,933","<100","Red",34,"Green"
"badass female demon series","$ 597","<100","Red",33,"Green"
"paranormal disaster thriller books","$ 2,055","<100","Red",18,"Green"
"dark supernatural demon fantasy books","$ 1,478","<100","Red",25,"Green"
"dark supernatural demon fantasy book","$ 1,425","<100","Red",4,"Green"
"female supernatural demon fantasy","$ 845","<100","Red",29,"Green"
"supernatural demon fantasy female","$ 845","<100","Red",29,"Green"
"dark paranormal bounty hunter","$ 72","<100","Red",37,"Green"
"twisted demon mystery quick reads","$ 350,736","<100","Red",59,"Yellow"
"dark supernatural demon fantasy for adults","$ 91","<100","Red",14,"Green"
"supernatural demon disaster fantasy","$ 641","<100","Red",25,"Green"
"influencer incorporated","$ 154","<100","Red",10,"Green"
"dark paranormal bounty hunter series","$ 110","<100","Red",36,"Green"
"dark disasters","$ 52","<100","Red",30,"Green"
"paranormal disaster thriller adult","$ 2,043","<100","Red",1,"Green"
"supernatural disaster fantasy","$ 364","<100","Red",12,"Green"
"paranormal disaster thriller for adults","$ 2,043","<100","Red",1,"Green"
"psychic thriller with high stakes","$ 194","<100","Red",1,"Green"
"demonic high fantasy","$ 22","<100","Red",1,"Green"
"supernatural disaster thriller","$ 474","<100","Red",1,"Green"
"supernatural demon disaster","$ 603","212","Yellow",19,"Green"
"supernatural disasters","$ 547","<100","Red",19,"Green"
"sine-chilling horror","$ 36","<100","Red",1,"Green"
"dark demon fantasy thriller","$ 391","<100","Red",5,"Green"
"preorder occult suspense","$ 23,079","<100","Red",1,"Green"
"captivating must read fantasy","$ 100,062","526","Green",31,"Green"
"urban disaster fantasy","$ 1,427","<100","Red",1,"Green"
"demon dark fantasy thriller ebook","$ 230","<100","Red",1,"Green"
"demon disaster thriller","$ 2,354","<100","Red",1,"Green"
"dark demon fantasy thriller books","$ 254","<100","Red",1,"Green"
"demon dark fantasy thriller","$ 232","<100","Red",1,"Green"
"demon dark fantasy thriller books","$ 254","<100","Red",1,"Green"
"urban fantasy disaster","$ 1,463","<100","Red",1,"Green"
"dark supernatural ghost fantasy","$ 377","520","Green",15,"Green"
"dark fantasy supernatural ghost","$ 709","520","Green",22,"Green"
"dark supernatural disaster fantasy","$ 257","<100","Red",11,"Green"
"disaster fantasy for adults","$ 2,264","<100","Red",3,"Green"
"dark urban disaster","$ 1,735","<100","Red",1,"Green"
"deadly offerings","$ 187","<100","Red",15,"Green"
"lucifer romantasy","$ 111","<100","Red",10,"Green"
"dark fantasy ghost","$ 3,350","<100","Red",2,"Green"
"dark ghost fantasy","$ 4,831","<100","Red",3,"Green"
"deadly sins with ghosts","$ 43","<100","Red",3,"Green"
"occult thriller with female demon hunter","$ 85","<100","Red",1,"Green"
"demon envy","$ 142","<100","Red",10,"Green"
"dark disaster","$ 58","<100","Red",22,"Green"
"demon disaster ebook for adults","$ 2,556","<100","Red",1,"Green"
"supernatural demon disaster thriller","$ 165","<100","Red",2,"Green"
"deadly sins horror","$ 422","<100","Red",1,"Green"
"paranormal influencer","$ 11","<100","Red",1,"Green"
