"Keyword","Average Sales","Search Per Month","Search Per Month Color","Competition Score","Competition Score Color"
"Demons Never Lose","$ 445","<100","Red",10,"Green"
"badass female demons ebooks","$ 506","1,014","Green",27,"Green"
"badass female demons ebook","$ 119","1,014","Green",40,"Green"
"badass female demons","$ 860","<100","Red",27,"Green"
"action & adventure paranormal demons","$ 36","<100","Red",20,"Green"
"psychic suspense thriller with demons","$ 624","<100","Red",40,"Green"
"dark paranormal fantasy demons","$ 104","461","Green",33,"Green"
"demons of greed","$ 6","<100","Red",10,"Green"
"greed demons","$ 5","<100","Red",1,"Green"
"occult suspense demons","$ 12","<100","Red",20,"Green"
"demons treasure","$ 18","<100","Red",30,"Green"
"demons and pirate","$ 7","<100","Red",10,"Green"
"pirates and demons","$ 7","<100","Red",1,"Green"
"demons and pirates","$ 7","<100","Red",10,"Green"
"dark fantasy pirates with demons","$ 1,702","<100","Red",1,"Green"
"paranormal dark fantasy women","$ 5,599","1,068","Green",63,"Yellow"
"paranormal dark fantasy for women","$ 5,610","880","Green",65,"Yellow"
"womens paranormal dark fantasy","$ 2,061","3,921","Green",43,"Yellow"
"twisted and spicy demon mystery","$ 3,401","836","Green",49,"Yellow"
"witty dialogue paranormal fantasy","$ 21,863","<100","Red",41,"Yellow"
"horror books with female leads","$ 19,577","207","Yellow",33,"Green"
"dark paranormal fantasy for women","$ 5,701","246","Yellow",63,"Yellow"
"paranormal womens dark fantasy","$ 2,152","987","Green",40,"Green"
"dark paranormal womens fantasy","$ 2,152","983","Green",40,"Green"
"womens dark paranormal fantasy","$ 2,152","983","Green",40,"Green"
"demon romantasy","$ 5,650","913","Red",39,"Green"
"badass female demon ebooks","$ 542","357","Green",25,"Green"
"badass female demon book","$ 704","4,701","Green",65,"Yellow"
"badass female demon books","$ 807","4,701","Green",31,"Green"
"dark fantasy pirate","$ 3,223","241","Yellow",25,"Green"
"dark pirate fantasy","$ 3,223","241","Yellow",25,"Green"
"occult romantasy","$ 631","411","Red",14,"Green"
"dark female demon","$ 374","<100","Red",20,"Green"
"badass female demon ebook","$ 119","1,071","Green",40,"Green"
"badass female demon","$ 325","294","Yellow",4,"Green"
"cursed treasure mystery","$ 56","<100","Red",1,"Green"
"paranormal bounty hunter series","$ 379","236","Yellow",35,"Green"
"dark female demon fantasy","$ 114","<100","Red",20,"Green"
"dark demon fantasy suspense","$ 42","255","Yellow",20,"Green"
"demon psychics","$ 1,843","365","Red",5,"Green"
"badass female demon fantasy","$ 596","<100","Red",1,"Green"
"paranormal demon adventure","$ 72","202","Yellow",20,"Green"
"dark paranormal fantasy demon","$ 104","323","Green",33,"Green"
"sapphic demon spicy","$ 564","<100","Red",25,"Green"
"mystery series female lead","$ 190","283","Yellow",28,"Green"
"dark paranormal pirate fantasy","$ 1,835","2,051","Green",35,"Green"
"badass female demon series","$ 277","<100","Red",13,"Green"
"women pirate fantasy book","$ 33","<100","Red",20,"Green"
"pirate dark fantasy","$ 3,062","241","Yellow",20,"Green"
"dark paranormal bounty hunter","$ 75","<100","Red",10,"Green"
"spicy sapphic demon books","$ 564","<100","Red",25,"Green"
"dark paranormal bounty hunter series","$ 92","<100","Red",30,"Green"
"strong female demon action","$ 1,074","562","Green",1,"Green"
"strong female demon thriller","$ 657","<100","Red",25,"Green"
"dark demon fantasy thriller","$ 39","<100","Red",20,"Green"
"cursed treasure hunt","$ 130","<100","Red",3,"Green"
"occult demon fantasy thriller","$ 173","<100","Red",20,"Green"
"badass female bounty hunter","$ 64","<100","Red",1,"Green"
"dark paranormal fantasy greed","$ 246","<100","Red",1,"Green"
"female pirate dark fantasy","$ 881","227","Yellow",1,"Green"
"pirate women fantasy","$ 37","<100","Red",20,"Green"
"demon dark fantasy thriller ebook","$ 39","<100","Red",20,"Green"
"paranormal demon dark fantasy","$ 104","323","Green",33,"Green"
"dark paranormal demon fantasy","$ 104","323","Green",33,"Green"
"demon dark fantasy thriller","$ 39","<100","Red",20,"Green"
"paranormal dark fantasy demon","$ 104","323","Green",33,"Green"
"supernatural greed","$ 21","727","Red",25,"Green"
"dark paranormal pirate","$ 1,835","<100","Red",35,"Green"
"dark fantasy paranormal demon","$ 104","323","Green",33,"Green"
"dark pirate paranormal","$ 1,835","<100","Red",25,"Green"
"paranormal demon action","$ 34","214","Yellow",20,"Green"
"paranormal fantasy books written by diverse author","$ 7,420","<100","Red",65,"Yellow"
"occult suspense demon","$ 20","<100","Red",20,"Green"
"dark fantasy greed","$ 323","<100","Red",1,"Green"
"dark fantasy pirate thriller","$ 9","<100","Red",1,"Green"
"caribbean action adventure dark","$ 208","<100","Red",1,"Green"
"dark caribbean action adventure","$ 208","<100","Red",1,"Green"
"deadly sin greed","$ 51","<100","Red",1,"Green"
"greed deadly sins","$ 15","<100","Red",1,"Green"
"demon fantasy suspense","$ 625","<100","Red",25,"Green"
"dark pirate fantasy for women","$ 1,333","<100","Red",25,"Green"
"supernatural suspense greed","$ 26","<100","Red",1,"Green"
"paranormal pirate fantasy","$ 12","<100","Red",40,"Green"
"deadly sin greed demon","$ 11","<100","Red",1,"Green"
"demon pirate fantasy","$ 8","<100","Red",1,"Green"
"deadly sins with ghosts","$ 24","<100","Red",1,"Green"
"dark fantasy pirate women","$ 1,333","<100","Red",25,"Green"
"supernatural pirate hunt","$ 8","<100","Red",1,"Green"
"caribbean action adventure fantasy","$ 29","<100","Red",1,"Green"
"paranormal pirate hunt","$ 51","<100","Red",1,"Green"
"dark fantasy pirate for women","$ 1,333","<100","Red",25,"Green"
"psychic suspense thriller demon","$ 624","<100","Red",20,"Green"
"occult thriller with female demon hunter","$ 68","<100","Red",1,"Green"
"caribbean action adventure paranormal","$ 11","<100","Red",1,"Green"
"dark paranormal demon mystery","$ 140","<100","Red",20,"Green"
"caribbean action adventure greed","$ 601","<100","Red",1,"Green"
"caribbean action adventure demon","$ 168","<100","Red",1,"Green"
"badass female lead","$ 10,357","<100","Red",19,"Green"
"pirate hunter of the caribbean","$ 296","<100","Red",20,"Green"
"dark fantasy pirate treasure","$ 807","<100","Red",1,"Green"
"pirate greed treasure","$ 6","<100","Red",1,"Green"
"cursed caribbean action adventure","$ 5","<100","Red",1,"Green"
