"Keyword","Average Sales","Search Per Month","Search Per Month Color","Competition Score","Competition Score Color"
"Demons Also Dream","$ 2,081","239","Yellow",23,"Green"
"demons dream book","$ 1,390","<100","Red",20,"Green"
"demons dream novel","$ 1,774","<100","Red",20,"Green"
"demons dream","$ 1,257","<100","Red",14,"Green"
"demons dream ebook","$ 1,783","<100","Red",20,"Green"
"demons dream ebooks","$ 2,179","202","Yellow",33,"Green"
"fantasy books with demons","$ 2,397","2,418","Green",64,"Yellow"
"dark fantasy books with demons","$ 158","1,359","Green",7,"Green"
"fantasy with demons","$ 3,817","1,545","Yellow",45,"Yellow"
"paranormal fantasy with demons","$ 833","1,526","Green",60,"Yellow"
"badass female demons book","$ 823","1,124","Green",46,"Yellow"
"dark fantasy ebooks with demons","$ 65","4,611","Green",77,"Red"
"badass female demons","$ 913","<100","Red",29,"Green"
"badass female demons books","$ 815","4,701","Green",28,"Green"
"demons of good and evil","$ 6,497","1,064","Green",92,"Red"
"badass female demons ebooks","$ 534","1,014","Green",26,"Green"
"dark fantasy horror demons","$ 93","222","Yellow",20,"Green"
"dark fantasy horror books with demons","$ 104","<100","Red",20,"Green"
"badass female demons ebook","$ 119","1,014","Green",40,"Green"
"demon and dream","$ 1,361","<100","Red",20,"Green"
"supernatural dark fantasy with demons","$ 212","<100","Red",33,"Green"
"dark fantasy demons","$ 286","1,391","Yellow",30,"Green"
"badass female demons ebook series","$ 363","<100","Red",25,"Green"
"dream realm exploration","$ 2,010","<100","Red",3,"Green"
"psychic dream novel","$ 70","<100","Red",20,"Green"
"badass female demons series","$ 145","<100","Red",1,"Green"
"dark fantasy with demons ebook","$ 65","9,221","Green",77,"Red"
"paranormal dream suspense","$ 113","<100","Red",33,"Green"
"dark paranormal with demons","$ 109","347","Green",33,"Green"
"demons and psychics books","$ 1,106","272","Yellow",20,"Green"
"dark paranormal demons","$ 109","339","Yellow",33,"Green"
"dream hunter series","$ 810","<100","Red",20,"Green"
"psychic suspense thriller with demons","$ 624","<100","Red",40,"Green"
"dark humor demons","$ 433","<100","Red",20,"Green"
"dark paranormal fantasy demons","$ 104","461","Green",33,"Green"
"demons and ghosts ebook","$ 1,163","<100","Red",45,"Yellow"
"demon dream book","$ 1,744","<100","Red",3,"Green"
"bounty hunter demons","$ 13","<100","Red",1,"Green"
"occult suspense demons","$ 7","<100","Red",20,"Green"
"haunted house angels and demons story","$ 69","<100","Red",1,"Green"
"demon fantasy dream","$ 34","<100","Red",20,"Green"
"demons and bounty hunters","$ 16","<100","Red",1,"Green"
"demon dream ebook","$ 1,768","<100","Red",20,"Green"
"psychic dream fantasy","$ 12","<100","Red",1,"Green"
"demons x ghosts","$ 190","<100","Red",1,"Green"
"paranormal dream dark fantasy","$ 413","219","Yellow",20,"Green"
"occult suspense with demons","$ 7","<100","Red",20,"Green"
"dream and demon","$ 1,371","<100","Red",20,"Green"
"dreams of demons","$ 1,405","<100","Red",20,"Green"
"suspenseful paranormal dream","$ 61","<100","Red",20,"Green"
"dreams and demons","$ 1,371","<100","Red",30,"Green"
"paranormal dream thriller","$ 63","<100","Red",20,"Green"
"demons and dreams","$ 1,805","<100","Red",25,"Green"
"paranormal demon dream","$ 16","<100","Red",20,"Green"
"interesting fmc","$ 21,161","50,197","Green",28,"Green"
"engaging fmc","$ 56,517","76,760","Green",63,"Yellow"
"thriller fantasy ebooks","$ 117","2,117","Green",52,"Yellow"
"unique fmc","$ 45,209","28,724","Green",43,"Yellow"
"dark humor paranormal book","$ 10,971","1,080","Green",13,"Green"
"paranormal fantasy horror","$ 507","781","Yellow",17,"Green"
"female main character lead horror suspense","$ 25,268","<100","Red",1,"Green"
"dark paranormal thriller ebooks","$ 219","<100","Red",40,"Green"
"humorous paranormal suspense","$ 422","13,832","Green",85,"Red"
"humorous supernatural suspense horror book 1","$ 1,678","<100","Red",28,"Green"
"dark fantasy with female main character","$ 648","<100","Red",3,"Green"
"most riveting captivating immersive thriller","$ 11,817","<100","Red",25,"Green"
"books with unique storyline","$ 85,620","6,295","Green",45,"Yellow"
"dark paranormal demon ebooks","$ 106","404","Green",28,"Green"
"dark fantasy occult","$ 922","327","Yellow",22,"Green"
"paranormal horror fiction","$ 1,500","584","Yellow",35,"Green"
"badass fmc paranormal","$ 2,693","1,358","Yellow",16,"Green"
"supernatural suspense thrillers","$ 423","509","Yellow",21,"Green"
"paranormal fantasy free books","$ 159","<100","Red",20,"Green"
"paranormal fantasy thriller","$ 190","1,833","Yellow",20,"Green"
"paranormal bounty hunters","$ 282","290","Yellow",21,"Green"
"psychic horror suspense","$ 796","5,906","Green",20,"Green"
"dark suspense books","$ 3,406","5,338","Green",52,"Yellow"
"paranormal demon ebooks","$ 497","435","Yellow",49,"Yellow"
"paranormal dark fantasy","$ 9,598","1,061","Yellow",62,"Yellow"
"demon and psychic ebooks","$ 915","521","Green",44,"Yellow"
"supernatural suspense thriller dark fantasy","$ 494","<100","Red",57,"Yellow"
"dark fantasy supernatural suspense thriller","$ 494","<100","Red",57,"Yellow"
"fmc paranormal","$ 1,522","1,533","Red",85,"Red"
"bounty hunter paranormal romance","$ 205","968","Green",11,"Green"
"female fmc","$ 8,570","876","Red",69,"Yellow"
"supernatural demon fantasy books for adults","$ 218","<100","Red",20,"Green"
"adult supernatural demon fantasy books","$ 218","<100","Red",20,"Green"
"adult supernatural demon fantasy book","$ 218","<100","Red",33,"Green"
"paranormal fantasy with demon","$ 833","1,068","Green",60,"Yellow"
"demon and psychic books","$ 1,073","284","Yellow",20,"Green"
"best psychic suspense books","$ 2,158","<100","Red",39,"Green"
"fantasy demon hunter","$ 988","314","Yellow",41,"Yellow"
"dark paranormal horror","$ 5,112","<100","Red",20,"Green"
"supernatural bounty","$ 1,134","884","Red",90,"Red"
"captivating unique thriller","$ 35,911","827","Yellow",60,"Yellow"
"adult supernatural demon fantasy ebook","$ 7,195","<100","Red",40,"Green"
"adult supernatural demon fantasy ebooks","$ 83","<100","Red",33,"Green"
"paranormal bounty hunter","$ 1,312","1,063","Yellow",43,"Yellow"
"psychic suspense series","$ 328","<100","Red",45,"Yellow"
"best dark comedy fantasy","$ 10,270","3,919","Green",37,"Green"
"dark paranormal ghost fantasy","$ 3,903","233","Yellow",33,"Green"
"badass female demon ebooks","$ 542","357","Green",25,"Green"
"badass female demon book","$ 704","4,701","Green",65,"Yellow"
"badass female demon books","$ 815","4,701","Green",28,"Green"
"badass female demon","$ 359","294","Yellow",4,"Green"
"unique dark mystery","$ 31,207","2,291","Green",60,"Yellow"
"supernatural demon books for adults","$ 187","<100","Red",20,"Green"
"mc book badass fmc","$ 3,999","1,071","Green",65,"Yellow"
"mc book with badass fmc","$ 3,999","1,102","Green",65,"Yellow"
"dark humor horror books for adults","$ 22,364","<100","Red",45,"Yellow"
"unique thrilling plot line","$ 1,774","584","Green",53,"Yellow"
"dark supernatural suspense","$ 214","<100","Red",40,"Green"
"demon and psychic for adults","$ 472","<100","Red",20,"Green"
"best paranormal read with humans","$ 34,468","<100","Red",45,"Yellow"
"suspense with great character development","$ 4,201","4,906","Green",67,"Yellow"
"demon horror ebook","$ 79","<100","Red",20,"Green"
"demon dark fantasy","$ 224","954","Yellow",7,"Green"
"unique funny plot line with supernatural","$ 1,984","<100","Red",41,"Yellow"
"dark fantasy horror demon ebooks","$ 93","<100","Red",20,"Green"
"dark fantasy horror demon","$ 93","222","Yellow",20,"Green"
"dark demon mystery","$ 136","<100","Red",20,"Green"
"dark fantasy horror demon books","$ 104","<100","Red",20,"Green"
"fast paced engaging occult horror mystery","$ 4,265","<100","Red",40,"Green"
"demon hunter series","$ 223","<100","Red",28,"Green"
"psychics dark comedy thrillers","$ 522","404","Green",8,"Green"
"dark comedy psychics thriller","$ 522","281","Yellow",8,"Green"
"dark female demon","$ 374","<100","Red",20,"Green"
"occult fantasy demon","$ 1,491","373","Yellow",45,"Yellow"
"occult fantasy","$ 4,030","1,025","Red",17,"Green"
"demon horror thriller books","$ 7,226","273","Yellow",41,"Yellow"
"paranormal supernatural occult","$ 436","501","Yellow",20,"Green"
"fast pace paranormal","$ 699","<100","Red",22,"Green"
"supernatural dark fantasy","$ 171","642","Yellow",62,"Yellow"
"supernatural demon mystery","$ 1,664","<100","Red",26,"Green"
