"Keyword","Average Sales","Search Per Month","Search Per Month Color","Competition Score","Competition Score Color"
"spicy romantasy with demons","$ 129","<100","Red",1,"Green"
"romantasy books with demons","$ 4,823","898","Green",52,"Yellow"
"spicy romantasy demons","$ 123","<100","Red",11,"Green"
"harem porn literature erotica desire","$ 345","<100","Red",22,"Green"
"steamy demon desire","$ 63","<100","Red",20,"Green"
"dark desire romantasy","$ 87","<100","Red",1,"Green"
"dark romantasy book with demons","$ 178","431","Green",37,"Green"
"supernatural romantasy books","$ 12,350","13,459","Green",57,"Yellow"
"supernatural romantasy ebooks","$ 810","273","Yellow",48,"Yellow"
"supernatural romantasy ebook","$ 875","273","Yellow",48,"Yellow"
"supernatural romantasy book","$ 12,350","13,451","Green",57,"Yellow"
"spicy reverse harem supernatural","$ 441","402","Green",52,"Yellow"
"badass fmc demon romance","$ 725","<100","Red",25,"Green"
"romantasy harem","$ 369","397","Red",13,"Green"
"kickass fmc reverse harem","$ 784","260","Yellow",8,"Green"
"spicy romantasy demon","$ 123","<100","Red",11,"Green"
"badass female reverse harem romance","$ 2,133","<100","Red",28,"Green"
"reverse harem badass female","$ 446","<100","Red",3,"Green"
"steamy demon romantasy","$ 364","258","Yellow",1,"Green"
"dark romance reverse harem badass","$ 744","<100","Red",25,"Green"
"spicy supernatural romantasy book","$ 7,567","<100","Red",44,"Yellow"
"dark paranormal bounty hunter","$ 74","<100","Red",10,"Green"
"reverse harem romance with ff","$ 134","269","Yellow",8,"Green"
"lucifer reverse harem romance","$ 68","<100","Red",1,"Green"
"bdsm romantasy","$ 96","<100","Red",1,"Green"
"spicy demon reverse harem","$ 237","1,561","Green",65,"Yellow"
"reverse harem ff ebooks","$ 109","265","Yellow",8,"Green"
"kickass fmc romance","$ 248","<100","Red",1,"Green"
"spicy demon romantasy","$ 1,224","<100","Red",30,"Green"
"supernatural demon reverse harem","$ 192","<100","Red",33,"Green"
"reverse harem lucifer","$ 66","<100","Red",25,"Green"
"spicy supernatural demon","$ 93","215","Yellow",20,"Green"
"fury romantasy","$ 447","255","Red",28,"Green"
"dark reverse harem obsession","$ 61","<100","Red",20,"Green"
"badass female reverse harem","$ 5,963","780","Green",62,"Yellow"
"reverse harem ff book","$ 123","316","Green",16,"Green"
"stalker romantasy","$ 753","<100","Red",1,"Green"
"steamy lesbian reverse harem","$ 137","265","Yellow",8,"Green"
"dark reverse harem lucifer","$ 5","<100","Red",25,"Green"
"supernatural lucifer romantasy","$ 18","203","Yellow",10,"Green"
"supernatural demon romantasy","$ 4,883","<100","Red",1,"Green"
"demon romantasy books","$ 4,884","897","Yellow",52,"Yellow"
"demon supernatural romantasy","$ 4,883","<100","Red",1,"Green"
"dark demon reverse harem erotica","$ 301","<100","Red",1,"Green"
"spicy friends to lovers romantasy","$ 115","<100","Red",1,"Green"
"reverse harem lucifer erotica","$ 5","<100","Red",1,"Green"
"lucifer romantasy for adults","$ 4","<100","Red",1,"Green"
"lucifer enemies to lovers","$ 546","<100","Red",1,"Green"
"lucifer reverse harem","$ 231","<100","Red",20,"Green"
